Indicator,Population,Gender,AgeMin,AgeMax,Value,Lower,Upper,NumTested,Year,UseDataInFit,Source,Notes,City,Province
HIV prevalence,FSW,Women,16,49,0.674,0.623,0.721,584,2018,TRUE,anova2018SAHMS,"Survey in eThekwini, no max age",eThekwini,Kwazulu-Natal
HIV prevalence,FSW,Women,16,49,0.391,0.34,0.444,540,2018,TRUE,anova2018SAHMS,"Survey in Johannesburg, no max age",Johannesburg,Gauteng
HIV prevalence,MSM,Men,18,49,0.137,0.91,0.196,62,2012,TRUE,lane2014plosone,"Ehlanzeni - - RDS adjusted estimate, no max age",Ehlanzeni,Mpumalanga
HIV prevalence,FSW,Women,18,49,0.85,0.81,0.88,431,2019,TRUE,milovanovic2021globhealthaction,Kwazulu-Natal,Kwazulu-Natal,Kwazulu-Natal
HIV prevalence,FSW,Women,20,49,0.78,0.69,0.86,101,2001,TRUE,ndhlovu2005popcouncil,Careltonville only; no max age. Study does have age specific prevalences but no sample sizes (and must be read off a graph),Careltonville,Gauteng
HIV prevalence,FSW,Women,15,49,0.751,0.69,0.8,249,2014,TRUE,black2016bmjsextransinf,"No access to full study, but from Oli's sheet Johannesberg only with no clear age range",Johannesburg,Gauteng
HIV prevalence,FSW,Women,18,49,0.732,0.66,0.79,190,2019,TRUE,milovanovic2021globhealthaction,Free State,Free State,Free State
HIV prevalence,FSW,Women,18,49,0.704,0.65,0.76,267,2019,TRUE,milovanovic2021globhealthaction,Mpumalanga,Mpumalanga,Mpumalanga
HIV prevalence,FSW,Women,18,49,0.7,0.64,0.75,272,2019,TRUE,milovanovic2021globhealthaction,North-West,North-West,North-West
HIV prevalence,FSW,Women,15,49,0.67,0.62,0.72,349,2012,TRUE,greener2014aids,Value taken from an abstract; Durban only; no age reported,Durban,Kwazulu-Natal
HIV prevalence,FSW,Women,18,49,0.651,0.62,0.68,865,2019,TRUE,milovanovic2021globhealthaction,Gauteng,gauteng,gauteng
HIV prevalence,FSW,Women,20,49,0.69,0.6,0.77,121,1998,TRUE,ndhlovu2005popcouncil,Careltonville only; no max age. Study does have age specific prevalences but no sample sizes (and must be read off a graph),Careltonville,Gauteng
HIV prevalence,FSW,Women,15,59,0.686,0.59,0.77,118,1998,TRUE,williams2000council,Khutsong only: Note that this study does have age-specific n and prevalence but the sample sizes are extremely low (example n = 1),Khutsong,Gauteng
HIV prevalence,FSW,Women,18,49,0.651,0.59,0.71,261,2019,TRUE,milovanovic2021globhealthaction,Eastern Cape,Eastern Cape,Eastern Cape
HIV prevalence,FSW,Women,18,49,0.671,0.56,0.77,82,2019,TRUE,milovanovic2021globhealthaction,Northern Cape,Northern Cape,Northern Cape
HIV prevalence,FSW,Women,16,58,0.596,0.559,0.628,775,2004,TRUE,vanLoggerenberg2008plosone,Durban only,Durban,Kwazulu-Natal
HIV prevalence,TGW,Women,18,49,0.633,0.555,0.705,309,2019,TRUE,cloete2023lancethiv,"RDS-adjusted prevalence, from IBBS",Johannesburg,
HIV prevalence,MSM,Men,15,49,0.584,0.55,0.61,1107,2015,TRUE,rees2017sextransdis,Johannesburg; no ages reported,Johannesburg,Gauteng
HIV prevalence,FSW,Women,18,49,0.59,0.53,0.65,276,2005,TRUE,luseno2009aidscare,No upper age; Pretoria only; included women who paid for sex but also those who reported having unprotected sex only,Pretoria,Gauteng
HIV prevalence,FSW,Women,18,49,0.551,0.51,0.6,508,2016,TRUE,yeo2022plosone,Soweto only; no max age reported,Soweto,Gauteng
HIV prevalence,FSW,Women,18,49,0.536,0.48,0.6,280,2016,TRUE,coetzee2017plosone,Soweto only; no max age reported; RDS-adjusted estimate though Ntested is not adjusted,Soweto,Gauteng
HIV prevalence,FSW,Women,15,49,0.529,0.48,0.58,399,2015,FALSE,slabbert2017bmcpubhealth,"Pretoria, min/max age not reported, self-report",Pretoria,Gauteng
HIV prevalence,FSW,Women,18,49,0.52,0.44,0.6,156,2016,TRUE,yeo2022plosone,Klerksdorp only; no max age reported,Klerksdorp,North-West
HIV prevalence,MSM,Men,18,49,0.495,0.425,0.565,202,2008,TRUE,rispel2011jaids,Johannesburg; no max age,Johannesburg,Gauteng
HIV prevalence,MSM,Men,18,49,0.49,0.42,0.55,746,2017,TRUE,scheibe2020bmcinfdis,Johannesburg; no max age,Johannesburg,Gauteng
HIV prevalence,MSM,Men,18,44,0.491,0.41,0.57,171,2015,TRUE,sandfort2019plosone,Soweto: Groups together MSM and TGW (estimated 1/5 identified as female or TG),Cape Town,Western Cape
HIV prevalence,FSW,Women,16,43,0.464,0.41,0.52,295,1996,TRUE,dunkle2005intjourstiaids,"Johannesburg, min/max age not reported, self-report",Johannesburg,Gauteng
HIV prevalence,FSW,Women,15,49,0.422,0.4,0.45,1364,2015,FALSE,slabbert2017bmcpubhealth,"Johannesburg, min/max age not reported, self-report",Johannesburg,Gauteng
HIV prevalence,MSM,Men,18,49,0.443,0.392,0.496,604,2019,TRUE,samhms2019,Cape Town; Those assigned male at birth only; adjusted for RDS; no max age,Cape Town,Western Cape
HIV prevalence,FSW,Women,15,49,0.54,0.39,0.68,50,2016,FALSE,radebe2016aids,"Conference abstract with missing data collection year (publication year used instead): Tshwane only. Age range assumed, though note mean 31.52 (SD = 5.21). Based on self-report.",,
HIV prevalence,TGW,Women,18,49,0.461,0.387,0.536,277,2019,TRUE,cloete2023lancethiv,"RDS-adjusted prevalence, from IBBS",Buffalo City,
HIV prevalence,MSM,Men,18,49,0.482,0.379,0.554,287,2012,TRUE,cloete2014marang,Durban; no upper age,Durban,Kwazulu-Natal
HIV prevalence,FSW,Women,15,49,0.46,0.37,0.55,124,2016,FALSE,radebe2016aids,"Conference abstract with missing data collection year (publication year used instead): Johannesburg only.   Age range assumed, though note mean 32.08 (SD = 6.56). Based on self-report.",,
HIV prevalence,MSM,Men,18,49,0.44,0.37,0.51,200,2012,TRUE,rebe2015plosone,"No upper age, excluded MSM who were treated for a recent STI in the past two weeks and required follow up clinic visits (may underestimate prevalence); Cape Town only",Cape Town,Western Cape
HIV prevalence,TGW,Women,18,49,0.456,0.367,0.547,252,2019,TRUE,cloete2023lancethiv,"RDS-adjusted prevalence, from IBBS",Cape Town,
HIV prevalence,TGW,Women,18,69,0.59,0.36,0.79,22,2015,TRUE,sullivan2020jaids,Study from Port Elizabeth and Cape town; age range for msm and tgw combined,Multi,Western Cape
HIV prevalence,MSM,Men,18,69,0.42,0.36,0.48,263,2015,TRUE,sullivan2020jaids,Study from Port Elizabeth and Cape town; age range for msm and tgw combined,Multi,Western Cape
HIV prevalence,All,Women,40,44,0.44,0.3572174,0.5258105,132.71071,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,35,39,0.394,0.345,0.445,840,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,30,34,0.408,0.3419578,0.4768013,204.03905,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,MSM,Men,18,49,0.4,0.34,0.47,746,2017,TRUE,scheibe2020bmcinfdis,Cape Town: no max age,Cape Town,Western Cape
HIV prevalence,PWID,Men,18,49,0.39,0.33,0.45,277,2017,TRUE,scheibe2019harmredjourn,Pretoria,Pretoria,Gauteng
HIV prevalence,All,Women,40,44,0.359,0.316,0.404,815,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,35,39,0.385,0.3148811,0.4611222,170.18583,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,FSW,Women,16,49,0.449,0.31,0.66,764,2013,TRUE,anova2013SAHMS,"Survey in Johannesburg, no max age",Johannesburg,Gauteng
HIV prevalence,FSW,Women,18,49,0.37,0.31,0.43,260,2019,TRUE,milovanovic2021globhealthaction,Limpopo,Limpopo,Limpopo
HIV prevalence,All,Women,30,34,0.36,0.3090141,0.4142577,318.86999,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,30,34,0.347,0.303,0.394,1051,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,40,44,0.338,0.297794118,0.383823529,464.571878,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Women,35,39,0.342,0.295588235,0.390441177,384.3461454,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Women,25,29,0.333,0.2766661,0.3952309,242.469,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,MSM,Men,18,49,0.345,0.27,0.42,171,2010,TRUE,tucker2013aidscare,Cape Town; there may be overlap in population with Health4Men Study from Anova Health Institute (Extracted separately) due to use of same recruitment volunteers; no upper age,Cape Town,Western Cape
HIV prevalence,All,Women,25,29,0.323,0.2689916,0.3827297,259.67747,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,35,39,0.316,0.2682965,0.3687205,329.21814,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,25,29,0.325,0.2640657,0.3933705,201.95236,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,45,49,0.303,0.262,0.348,818,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,FSW,Women,16,49,0.31,0.256,0.36,772,2018,TRUE,anova2018SAHMS,"Survey in Cape Town, no max age",Cape Town,Western Cape
HIV prevalence,All,Women,45,49,0.288,0.247058824,0.333088235,425.7461297,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Women,15,49,0.273,0.247,0.299,2485,2016,FALSE,zafdhs2016,,,
HIV prevalence,All,Women,15,49,0.263,0.245,0.282,7192,2017,FALSE,zafhsrc2017,,,https://hsrc.ac.za/uploads/pageContent/9234/SABSSMV_Impact_Assessment_Summary_ZA_ADS_cleared_PDFA4.pdf
HIV prevalence,MSM,Men,18,44,0.317,0.24,0.4,139,2015,TRUE,sandfort2019plosone,Cape Town: Groups together MSM and TGW (estimated 1/5 identified as female or TG),Cape Town,Western Cape
HIV prevalence,MSM,Men,18,49,0.31,0.24,0.39,153,2018,TRUE,jobson2018aidscare,Cape Town;  Year is the study year.,Cape Town,Western Cape
HIV prevalence,All,Women,30,34,0.297,0.2387333,0.3637051,205.35795,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,25,29,0.284,0.2379433,0.3339614,338.52297,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,25,29,0.275,0.237,0.317,1161,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,50,54,0.291,0.231617647,0.357352941,200.5381269,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Men,40,44,0.319,0.2299205,0.4229657,89.85601,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,40,44,0.28,0.2279137,0.339476,248.8205,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,35,39,0.288,0.2272409,0.3573648,185.66674,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,MSM,Men,18,49,0.268,0.226,0.314,737,2019,TRUE,samhms2019,Johannesburg; Those assigned male at birth only; adjusted for RDS; no max age,Johannesburg,Gauteng
HIV prevalence,All,Women,30,34,0.262,0.225,0.304411765,471.1509737,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Men,45,49,0.271,0.220588235,0.328676471,259.8436454,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,PWID,Women,18,49,0.39,0.22,0.58,31,2017,TRUE,scheibe2019harmredjourn,Durban,Durban,Kwazulu-Natal
HIV prevalence,PWID,Women,18,49,0.36,0.22,0.52,42,2017,TRUE,scheibe2019harmredjourn,Pretoria,Pretoria,Gauteng
HIV prevalence,All,Women,30,34,0.26,0.2146343,0.3100773,324.92004,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,15,49,0.232,0.213,0.251,8252,2012,FALSE,zafhsrc2012,Unclear whether denominators are weighted - https://repository.hsrc.ac.za/handle/20.500.11910/2490,,
HIV prevalence,MSM,Men,18,49,0.283,0.211,0.353,110,2012,TRUE,lane2014plosone,"Gert Sibande - RDS adjusted estimate, no max age",Gert Sibande,Mpumalanga
HIV prevalence,FSW,Women,18,49,0.255,0.21,0.3,377,2019,TRUE,milovanovic2021globhealthaction,Western Cape,Western Cape,Western Cape
HIV prevalence,All,Women,35,39,0.255,0.2086542,0.30805,296.4026,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,MSM,Men,18,49,0.268,0.204,0.356,339,2012,TRUE,cloete2014marang,Johannesburg; no upper age,Johannesburg,Gauteng
HIV prevalence,MSM,Men,18,58,0.26,0.2,0.32,200,2009,TRUE,baral2011bmcpubhealth,Cape Town,Cape Town,Western Cape
HIV prevalence,All,Men,30,34,0.268,0.1982394,0.352087,127.508,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,20,24,0.239,0.1978645,0.2845411,372.37277,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,30,34,0.256,0.1975553,0.3237993,183.47776,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,30,34,0.274,0.1953817,0.3705718,100.30134,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,35,39,0.237,0.193,0.289,584,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,45,49,0.248,0.188,0.32,478,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,50,54,0.23,0.185294118,0.282352941,288.8821114,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Women,15,49,0.202,0.183,0.222,5650,2005,FALSE,zafhsrc2005,,,
HIV prevalence,FSW,Women,16,49,0.518,0.18,0.45,766,2013,TRUE,anova2013SAHMS,"Survey in Durban, no max age",Durban,Kwazulu-Natal
HIV prevalence,All,Men,35,39,0.233,0.1779094,0.2986828,189.28305,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,40,44,0.224,0.177,0.279,501,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,20,24,0.209,0.1741497,0.2495828,449.08171,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,30,34,0.233,0.1720834,0.3075212,150.55258,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,50,54,0.222,0.172,0.282,774,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,45,49,0.264,0.1700835,0.3866891,64.38077,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,MSM,Men,18,49,0.275,0.17,0.381,69,2008,TRUE,rispel2011jaids,Durban; no max age,Durban,Kwazulu-Natal
HIV prevalence,All,Women,25,29,0.195,0.167647059,0.229411765,632.2980907,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Men,40,44,0.199,0.163235294,0.242647059,388.40788,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Women,45,49,0.205,0.1559506,0.2642589,216.80614,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,45,49,0.197,0.1558929,0.245564,303.93057,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,FSW,Women,16,49,0.194,0.15,0.34,650,2013,TRUE,anova2013SAHMS,"Survey in Cape Town, no max age",Cape Town,Western Cape
HIV prevalence,All,Men,50,54,0.202,0.15,0.266,451,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,35,39,0.193,0.149139,0.2457087,258.39551,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,MSM,Men,18,49,0.223,0.147,0.301,280,2012,TRUE,cloete2014marang,Cape town; no upper age,Cape Town,Western Cape
HIV prevalence,All,Women,20,24,0.174,0.1455964,0.2061761,604.79892,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,30,34,0.184,0.145,0.231,679,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,35,39,0.224,0.142435,0.3328281,74.96885,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,55,59,0.176,0.14,0.219,697,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
